skill,level,resource_name,resource_type,link
python,beginner,python beginner course,coursera,https://example.com
python,beginner,python beginner course,youtube,https://example.com
python,beginner,python beginner course,udemy,https://example.com
python,beginner,python beginner course,freecodecamp,https://example.com
python,beginner,python beginner course,edx,https://example.com
python,intermediate,python intermediate course,coursera,https://example.com
python,intermediate,python intermediate course,youtube,https://example.com
python,intermediate,python intermediate course,udemy,https://example.com
python,intermediate,python intermediate course,freecodecamp,https://example.com
python,intermediate,python intermediate course,edx,https://example.com
python,advanced,python advanced course,coursera,https://example.com
python,advanced,python advanced course,youtube,https://example.com
python,advanced,python advanced course,udemy,https://example.com
python,advanced,python advanced course,freecodecamp,https://example.com
python,advanced,python advanced course,edx,https://example.com
statistics,beginner,statistics beginner course,coursera,https://example.com
statistics,beginner,statistics beginner course,youtube,https://example.com
statistics,beginner,statistics beginner course,udemy,https://example.com
statistics,beginner,statistics beginner course,freecodecamp,https://example.com
statistics,beginner,statistics beginner course,edx,https://example.com
statistics,intermediate,statistics intermediate course,coursera,https://example.com
statistics,intermediate,statistics intermediate course,youtube,https://example.com
statistics,intermediate,statistics intermediate course,udemy,https://example.com
statistics,intermediate,statistics intermediate course,freecodecamp,https://example.com
statistics,intermediate,statistics intermediate course,edx,https://example.com
statistics,advanced,statistics advanced course,coursera,https://example.com
statistics,advanced,statistics advanced course,youtube,https://example.com
statistics,advanced,statistics advanced course,udemy,https://example.com
statistics,advanced,statistics advanced course,freecodecamp,https://example.com
statistics,advanced,statistics advanced course,edx,https://example.com
machine learning,beginner,machine learning beginner course,coursera,https://example.com
machine learning,beginner,machine learning beginner course,youtube,https://example.com
machine learning,beginner,machine learning beginner course,udemy,https://example.com
machine learning,beginner,machine learning beginner course,freecodecamp,https://example.com
machine learning,beginner,machine learning beginner course,edx,https://example.com
machine learning,intermediate,machine learning intermediate course,coursera,https://example.com
machine learning,intermediate,machine learning intermediate course,youtube,https://example.com
machine learning,intermediate,machine learning intermediate course,udemy,https://example.com
machine learning,intermediate,machine learning intermediate course,freecodecamp,https://example.com
machine learning,intermediate,machine learning intermediate course,edx,https://example.com
machine learning,advanced,machine learning advanced course,coursera,https://example.com
machine learning,advanced,machine learning advanced course,youtube,https://example.com
